Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AND,1392.178254,1506.72015,1460.073541,1857.622689,1424.631803,1330.411302,1293.948961,1485.790129,1891.384128,2193.360689,2355.66024,2631.377069,3011.773219,3104.634409,2761.57818,2957.555643,3058.982554
AFG,,,,,,,,14.24731572,17.88009029,19.36435971,20.99388956,22.69639537,29.98475184,34.98059601,35.49851201,44.18755767,55.93483055
AGO,20.74862862,18.53179493,28.4047932,24.39985905,25.85126804,18.88834693,30.29481411,28.68255971,37.11814165,53.59320707,65.87032824,111.5943678,116.691024,179.4320957,236.5510202,146.1098503,186.2564865
ALB,28.22458703,43.04585912,36.13520839,47.10204775,65.02421307,75.23641319,79.86233284,90.26464025,113.0051384,152.2703931,162.2615367,170.6026627,206.1178236,244.0244875,238.2603038,220.2285618,254.640384
ARB,83.14455036,81.10535182,86.9476251,89.43421415,96.51665957,104.6295732,106.6052656,109.3216709,115.2173263,127.6615152,140.7960875,161.2188812,188.0156844,223.5048852,247.4270828,260.1772151,296.3648566
ARE,737.9431078,731.2627993,750.7649941,720.5852478,722.0457528,751.676309,814.9195,916.9391318,967.5831362,994.9769722,1029.825431,1108.608162,1204.028251,1518.825343,1695.768407,1467.48791,1639.87147
ARG,615.4142626,619.1318441,685.9666339,706.5454278,726.2321112,709.3310353,675.7074063,225.2861687,280.1927608,327.0265218,394.4975271,453.2983793,547.4813106,685.1687561,725.0367866,759.2994333,891.804497
ARM,25.73810058,29.26083051,30.28430879,35.16307641,34.03030962,38.97545265,41.13967068,41.99232073,51.03744295,64.12593552,77.68620648,86.86687224,116.2640723,142.7180898,128.7742572,133.7855992,141.509592
ATG,350.7192983,353.8101622,372.3061575,387.8929475,401.1512994,407.7813262,429.9167702,438.1414039,462.040323,458.7266713,530.10345,579.4718499,643.9806601,665.8727538,677.5606866,771.3825134,747.9863341
AUS,1564.944285,1760.462837,1761.073558,1587.242931,1744.914063,1713.138146,1631.917708,1846.880949,2322.959512,2871.998148,3136.474997,3330.212908,3956.468725,4237.325456,4118.488722,5173.502443,5938.645599
AUT,2876.079792,2811.081798,2559.309244,2666.708917,2698.29707,2403.248441,2405.684807,2599.388278,3222.929815,3720.131059,3863.120209,4015.861594,4636.260896,5211.40999,5110.543173,4964.154032,5280.404359
