1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Code
32000,39000,45000,51000,56000,59000,59000,38000,33000,25000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,20000,20000,USA
32000,37000,42000,47000,52000,56000,60000,63000,66000,68000,71000,72000,74000,75000,74000,71000,67000,62000,50000,40000,34000,31000,ZMB
23000,32000,43000,55000,68000,82000,96000,110000,120000,140000,150000,150000,160000,160000,150000,150000,140000,130000,110000,98000,78000,58000,ZWE
22000,30000,40000,51000,63000,76000,89000,100000,110000,120000,120000,130000,130000,130000,130000,130000,130000,120000,100000,96000,91000,84000,TZA
17000,20000,24000,28000,32000,36000,40000,43000,46000,48000,50000,50000,50000,50000,49000,47000,43000,38000,35000,30000,25000,23000,CIV
14000,18000,22000,27000,31000,36000,41000,45000,50000,55000,59000,63000,67000,71000,74000,77000,75000,68000,62000,55000,49000,44000,MWI
14000,14000,15000,15000,16000,16000,17000,18000,20000,21000,21000,21000,21000,21000,21000,20000,16000,12000,9600,8500,7300,6400,RWA
12000,13000,14000,15000,16000,16000,16000,16000,16000,16000,16000,15000,15000,15000,14000,13000,11000,10000,9400,8400,7600,6800,BFA
12000,16000,21000,27000,35000,44000,53000,63000,73000,83000,92000,100000,110000,110000,110000,110000,110000,100000,88000,76000,65000,54000,ETH
8100,8200,8100,7900,7700,7500,5600,2700,1700,1700,1800,1800,1800,1800,1800,1500,1200,1200,1200,1300,1300,1300,FRA
7500,8700,9800,11000,12000,13000,13000,14000,15000,15000,15000,16000,16000,15000,15000,15000,14000,14000,13000,11000,11000,10000,CAF
6600,11000,17000,26000,37000,51000,67000,83000,99000,110000,120000,130000,140000,140000,140000,130000,120000,100000,93000,82000,70000,62000,KEN
5600,6400,6900,7200,7300,7300,7200,7000,6800,6700,6500,6400,6300,6000,5700,5500,4700,4100,3600,3200,2900,2800,BEN
4800,5300,5800,6300,6700,7200,7600,7900,7500,7700,7900,7800,7600,7200,6700,6700,6600,6100,5600,5200,5000,4900,MEX
4600,5700,7000,8400,10000,12000,13000,13000,11000,10000,10000,11000,12000,12000,13000,13000,12000,14000,14000,14000,15000,15000,BRA
4400,7600,12000,19000,28000,40000,54000,71000,91000,110000,130000,150000,170000,190000,210000,210000,220000,220000,220000,210000,210000,210000,NGA
3900,5000,6100,7300,8300,9300,10000,11000,11000,11000,12000,12000,12000,11000,11000,11000,10000,8700,7600,6600,5900,5800,HTI
3300,4200,5200,6400,7800,9200,11000,12000,14000,15000,17000,18000,20000,21000,21000,22000,22000,21000,20000,19000,17000,15000,GHA
3200,4000,4800,5800,6700,7700,8700,9700,11000,12000,13000,13000,14000,15000,16000,16000,16000,16000,15000,13000,11000,12000,TCD
2700,3200,3800,4500,5100,5700,3700,2100,2000,2100,2100,2100,2000,2000,1900,1900,1800,1800,1700,1300,1000,1000,ESP
2600,3300,4100,4800,5400,5900,6300,6600,6800,6900,6900,6900,6800,6800,6700,6600,6200,6000,5800,5200,4800,4600,COG
2500,3100,3800,4500,5200,6000,6700,7400,8100,8700,9300,9700,10000,10000,10000,9900,9900,9000,8100,7500,7000,6600,MLI
2200,3600,5900,9800,16000,26000,41000,61000,89000,120000,160000,210000,260000,300000,340000,370000,390000,390000,380000,340000,300000,270000,ZAF
