Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
USA,12.81933155,15.4161775,17.54290214,19.62149747,21.28257945,22.15729426,21.90100745,13.93692441,11.96284991,8.959288991,7.088116354,7.018308363,6.953493813,6.893985901,6.8304775,6.767809344,6.702864099,6.639418339,6.24806873,6.193534342,6.465665819,6.418736219
ZMB,407.9282903,460.2999962,510.3603144,557.9921212,602.8652097,633.3882948,661.2800994,675.9592103,689.1163367,691.1145737,702.9020251,694.837368,696.4428616,688.4195622,662.2131342,619.0049156,568.6827915,511.9896413,401.395991,311.8900843,257.2447498,227.3761467
ZWE,219.8478232,298.1445718,391.5759447,490.5982641,594.9956491,704.5058476,810.3926099,913.1803723,981.2339016,1130.424595,1199.64951,1191.728167,1265.730459,1262.51637,1181.749347,1180.118404,1100.256297,1020.395348,860.4478036,760.3431103,596.4680831,434.172749
TZA,86.32591943,113.906447,146.8639103,181.126897,216.7381507,253.8045469,289.1445425,316.5955693,339.7333643,361.6299421,352.7283775,372.541961,363.0626029,353.6372722,344.2328122,334.8411143,325.4691068,291.8309726,236.1063791,219.9829183,202.3421437,181.2117618
CIV,140.3125801,159.6159258,185.3139469,209.3401129,231.9031816,253.21032,273.3661231,285.8634095,297.995591,303.7542507,309.9558053,304.5034909,299.8503087,295.6865075,285.8088609,270.2082109,243.4547888,211.7102393,191.6753322,161.2786862,131.7412804,118.6181257
MWI,148.1932648,186.3832923,225.4229087,275.4923533,314.6653225,361.2983255,403.8090023,432.5151844,467.2818588,499.4230755,521.1325429,542.020995,561.761106,580.1251256,588.7458369,595.7563886,563.5904771,495.8524133,438.5280255,377.401526,326.3687138,284.6508928
RWA,194.0483702,200.7552988,229.1790805,247.2689964,279.3069835,282.4939555,286.6984565,278.1801086,278.9533336,267.4132165,250.1317063,239.7259453,233.6572602,230.1075578,226.9196021,212.1012907,165.6152513,120.868525,93.90625671,80.72429254,67.36348191,57.42838389
BFA,136.1928845,143.6449803,150.5843317,157.0274001,162.9894548,158.5747932,154.2531151,150.0236944,145.8811018,141.8195555,137.8366401,125.5642018,121.9869329,118.491967,107.4092595,96.85642056,79.58179334,70.2490152,64.12160294,55.64768707,48.90515514,42.51245349
ETH,24.97775159,32.16475883,40.75639364,50.60172289,63.40585109,77.16114468,90.11288867,103.987383,117.0735926,129.3663339,139.3428491,147.1521656,157.2589052,152.7997088,148.5158935,144.4190442,140.5020924,124.3151664,106.5102064,89.58246462,74.63090911,60.40737188
FRA,13.8676779,14.00343241,13.76399059,13.36602697,12.97917754,12.59642331,9.372068091,4.50271724,2.824615722,2.810127767,2.955128492,2.933711565,2.912469185,2.891915897,2.870716287,2.374310116,1.886259347,1.874631752,1.864190636,2.009182862,1.999039385,1.988630753
CAF,257.4820861,291.9866774,321.2283773,351.9837806,374.925835,396.8623452,388.0250688,408.7909919,428.7993048,420.2242148,412.2786476,431.9601949,424.7132124,391.6821338,385.2480805,378.702097,347.2134385,340.8899712,310.6253462,257.8378608,252.8781557,225.4172868
KEN,28.14926395,45.38505007,67.89966873,100.6225751,138.91674,186.0086687,237.7047738,286.7641386,333.3081276,360.9090012,383.5697881,404.6522433,424.2356879,412.9183146,401.8991919,363.2734154,326.4640047,264.8844955,239.8559193,205.9021913,171.1106799,147.5210831
BEN,111.9715368,123.4919272,128.2950921,128.9763221,126.1492979,121.9581874,116.5743085,110.0403832,103.8724092,99.39928708,93.53371228,89.19971272,84.96584643,78.27093248,71.94429845,67.21775448,55.66299303,47.08589961,40.11905106,34.62910015,30.49486435,28.63045698
MEX,5.576402264,6.030258655,6.461825607,6.873690139,7.162590385,7.547751558,7.818806726,7.982333137,7.44942829,7.525647235,7.605396817,7.404603292,7.12119499,6.663192429,6.125347465,6.050654308,5.886723702,5.373037721,4.870918952,4.466480916,4.24137121,4.105185475
BRA,3.073873034,3.746215854,4.527872727,5.349939171,6.272230785,7.412403184,7.907907045,7.787907389,6.490734444,5.813738448,5.730498178,6.215805828,6.68919558,6.602368729,7.064822568,6.983900385,6.378421714,7.368538329,7.300580714,7.23548157,7.684026518,7.616721148
NGA,4.601675324,7.74835204,11.92934938,18.42071476,26.47684133,36.8919196,48.57591169,62.29191375,77.86604526,91.79526571,105.7970888,119.0429027,131.5538574,143.3419772,154.4126162,150.4450045,153.5081043,149.4693637,145.4948704,135.1516421,131.4901503,127.8983245
HTI,54.85142577,68.91758862,82.43396971,96.75304726,107.9183321,118.6490694,125.2056816,135.1953918,132.7590098,130.434695,139.8889329,137.610781,135.4457605,122.2734548,120.4828119,118.7792217,106.5116766,91.4469365,78.85244788,67.58726668,59.61763874,57.81001317
GHA,22.55840628,27.91986441,33.60976286,40.23318905,47.73772746,54.88956875,64.06839802,68.30421857,77.9126966,81.59134897,90.30528179,93.29619177,101.0800045,103.4396848,100.7894502,102.8804949,100.237933,93.22701724,86.54210172,80.19742749,70.06581777,60.43341394
TCD,53.76728912,65.11945024,75.72251107,88.65222481,99.17785995,110.3096392,120.5600471,129.968498,142.4074313,149.9456634,156.6047889,150.7960232,156.2506278,161.0957259,165.5453727,159.7697239,154.4875445,149.611487,135.9850047,114.3226493,93.85040127,99.33744408
ESP,6.949729134,8.21797163,9.726693977,11.48269685,12.97876138,14.47177378,9.37226447,5.305386511,5.035106271,5.259695196,5.215678748,5.157109626,4.840977168,4.761392119,4.450514947,4.378067513,4.080111539,4.010789469,3.731694174,2.831713818,2.170564193,2.16569278
COG,109.093213,134.8579088,163.2283218,186.1602281,203.9415866,216.8612966,225.1952765,229.2993896,229.6244593,226.6423689,220.7149629,215.2458982,207.0822747,202.1752872,194.2666405,186.2898043,170.0189187,159.6229493,149.620467,130.1579467,116.7396087,108.8664892
MLI,31.39100053,38.12816302,45.65802404,52.72198945,59.36451203,66.74933943,72.65111622,78.20545122,83.39884261,87.19786941,90.63817756,91.83198949,91.88928224,89.12864892,86.40849651,82.90583789,80.32099189,70.72341964,61.65181657,55.3126062,50.05018962,45.78012348
ZAF,6.25,10.01861577,16.08035215,26.1516071,41.79376469,66.46216769,102.4993672,149.0492744,212.4121094,279.5672376,363.6363636,467.6045984,571.0107672,650.5264689,728.6010254,783.9237328,817.0799716,808.1681849,778.7998866,689.3734103,600.1044182,533.7365271
BDI,37.46071308,48.6975662,61.19660787,76.61936698,94.88831727,114.3331407,133.4502188,152.2865033,170.6042119,183.3384184,194.7773889,190.0758198,184.7187309,178.9563814,173.0847605,154.4323633,136.7720479,120.0723508,105.5160547,89.61891461,74.73393905,60.79433883
THA,3.711380042,7.694416393,13.5273406,20.66485307,30.77388894,40.68903214,52.04648806,63.11564642,73.88793486,84.38388156,93.03313508,98.30492189,97.18197204,91.48941007,84.50176225,68.63995138,51.60588326,43.88823954,39.28362384,36.2114741,34.63734608,34.54681162
CMR,13.25561236,19.30759893,27.35052139,37.20789807,49.4576343,63.89283234,76.83201218,95.17706537,119.142894,135.3646366,156.9591315,171.2492141,190.6799911,203.2133606,209.335693,203.9946115,198.7971483,198.9770902,188.823429,179.0693319,169.7023755,160.7088432
ITA,2.820912269,4.40462499,6.338353233,8.094057025,9.851627454,11.43474307,7.386526985,4.042863351,2.635891451,1.756965406,1.756169617,1.755087476,1.749554555,1.735970727,1.71894228,1.706279568,1.696597503,1.684202329,1.671341437,1.66133108,1.653346617,1.646807025
