1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Code
267,264,261,269,294,337,397,472,568,685,803,911,1000,1072,1120,1147,1171,1198,1227,1257,1287,1317,SWZ
301,301,302,305,309,317,332,360,406,479,576,683,780,852,898,925,940,948,960,971,981,993,ZAF
379,372,379,415,474,575,771,916,1087,1262,1407,1663,1808,1826,1720,1393,1231,1134,1154,989,867,723,NAM
207,220,233,248,263,279,297,315,334,355,377,400,425,451,479,509,540,574,608,644,682,723,SLE
184,201,218,244,280,323,362,409,461,519,553,576,613,635,643,639,638,637,635,634,633,632,LSO
619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,620,620,620,DJI
296,328,362,399,439,483,531,579,633,684,726,764,790,804,807,799,782,754,716,668,633,603,ZWE
401,419,436,451,465,478,490,500,506,511,513,514,515,518,520,524,527,531,535,539,544,548,MOZ
137,147,156,167,178,190,203,216,231,246,263,280,299,319,340,363,388,413,441,471,502,536,MHL
,,,,,,,,,,,,498,498,498,498,498,498,498,498,498,498,TMP
533,612,683,748,804,855,900,931,941,938,918,882,845,810,773,733,690,645,596,545,503,455,BWA
220,228,254,271,292,314,342,368,401,476,527,556,586,594,597,586,578,542,523,511,475,450,GAB
710,736,756,772,782,788,790,784,766,742,713,678,645,617,591,566,543,521,500,482,462,444,ZMB
580,579,579,579,578,578,578,577,577,577,577,571,560,543,526,510,494,479,465,451,437,424,KHM
864,934,1013,1089,1151,1200,1230,1225,1197,1142,1074,995,915,839,763,690,624,561,511,469,433,400,CAF
169,188,200,215,229,245,258,277,299,324,353,382,408,425,430,425,414,403,399,395,391,387,COG
393,396,398,400,402,404,406,408,410,411,412,411,410,408,406,403,400,396,393,388,384,381,MMR
116,146,189,268,389,505,587,605,534,443,372,332,342,393,448,488,502,485,450,408,370,356,KIR
308,310,311,310,314,322,326,334,338,344,349,352,354,354,355,358,357,354,333,351,348,346,PNG
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,345,345,345,PRK
228,232,237,241,246,251,256,261,266,272,277,282,288,294,300,305,312,318,324,330,337,344,MRT
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,ZAR
205,209,214,218,222,226,231,236,240,245,250,255,260,265,270,276,281,287,292,298,304,310,AGO
199,203,207,211,215,219,223,228,232,237,242,246,251,256,261,266,272,277,283,288,293,299,LBR
139,139,142,148,157,169,184,203,230,259,286,314,336,349,357,359,355,347,332,312,298,288,KEN
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,286,286,SOM
185,189,193,196,200,204,208,212,217,221,225,230,234,239,244,248,253,258,263,269,273,279,GMB
393,386,380,373,366,360,353,347,341,335,329,323,317,312,306,301,295,290,285,280,275,270,PHL
367,377,388,398,410,419,426,431,431,428,421,408,395,379,359,342,324,308,293,280,269,258,ETH
112,122,137,156,180,206,231,255,277,296,310,317,320,320,317,313,306,297,273,268,274,243,CMR
158,161,164,167,170,174,177,181,184,188,192,195,199,203,207,211,216,220,224,229,233,238,GNB
391,384,371,359,347,335,324,315,308,300,293,286,282,274,268,262,256,252,247,245,242,238,MDG
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,PAK
536,515,494,475,456,437,420,403,387,372,357,343,329,316,303,291,279,268,258,247,237,228,TUV
225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,BGD
405,384,365,347,330,314,299,286,274,263,254,245,238,232,228,225,222,222,222,224,224,223,MNG
247,247,247,247,247,247,247,247,256,264,271,276,279,280,277,272,264,256,246,238,230,222,HTI
492,473,455,437,420,403,387,372,358,344,330,317,305,293,281,270,260,250,240,230,221,213,LAO
241,252,257,265,272,279,280,265,266,266,268,245,240,236,206,206,218,202,154,202,215,202,GNQ
379,367,356,346,335,325,315,306,297,288,279,271,263,255,247,240,232,226,219,212,206,200,FSM
70,84,99,115,132,148,166,185,201,213,220,221,218,214,208,200,195,192,190,190,191,193,TJK
624,610,594,578,560,542,523,502,478,453,427,400,374,350,326,304,283,263,244,226,209,193,UGA
784,733,686,641,600,561,525,491,459,429,402,376,351,329,307,287,269,251,235,220,206,192,BTN
238,272,307,336,362,380,391,394,391,382,370,351,329,308,287,268,249,234,217,212,190,191,CIV
326,361,392,419,442,462,479,488,488,481,467,445,422,401,378,354,328,301,273,243,219,191,MWI
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,AFG
206,205,205,205,205,205,204,204,204,204,204,204,204,202,201,199,197,195,193,191,189,187,IDN
247,249,251,251,251,249,246,244,240,237,234,206,225,220,216,211,205,200,196,187,188,183,GIN
216,216,216,216,216,216,216,216,216,216,216,216,215,214,212,209,205,201,196,190,185,181,IND
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,GRL
226,226,226,226,226,226,226,226,228,232,236,239,239,235,225,213,200,192,190,183,177,169,TZA
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,NPL
54,65,77,88,99,109,118,126,134,140,147,155,163,170,174,175,175,175,173,170,166,161,MDA
60,61,63,65,68,71,75,79,83,87,92,97,102,107,112,116,122,128,132,139,149,159,SLE
45,52,34,204,325,147,38,110,158,226,156,108,75,61,34,67,80,73,95,125,124,153,PLW
94,101,108,115,122,128,135,140,144,148,151,153,154,153,151,150,150,151,151,151,151,151,TCD
251,244,238,232,226,220,214,209,204,201,197,193,189,185,181,176,172,168,164,159,155,151,VNM
,,,,,,,,,,,,,,,,,,,,,146,SSD
175,174,172,171,169,168,166,165,163,162,160,159,157,156,155,153,152,151,149,148,147,145,CPV
162,189,222,260,294,323,338,338,328,309,289,267,244,229,212,198,183,171,159,150,144,139,BDI
138,139,141,145,149,153,158,160,158,158,155,151,149,146,144,142,140,138,140,133,137,136,SEN
251,244,236,229,222,215,209,202,196,190,184,179,173,168,163,158,153,148,144,140,135,131,BOL
79,124,173,224,274,318,357,387,403,383,351,325,290,263,247,235,221,203,185,166,148,129,KAZ
92,105,119,135,151,168,186,205,221,237,249,250,246,238,226,208,192,178,164,151,139,128,KGZ
280,273,268,266,264,263,263,264,263,261,256,244,227,210,193,175,160,149,139,132,128,125,GEO
138,132,130,129,129,130,134,142,150,161,171,173,174,171,164,154,147,141,139,132,128,124,THA
128,129,130,132,135,139,143,149,157,165,172,178,182,182,180,175,168,158,145,130,133,118,NGA
170,167,166,163,160,158,154,152,149,147,144,142,140,137,135,133,129,126,124,121,119,117,SDN
305,383,458,526,587,636,677,707,719,710,682,632,566,495,416,334,271,225,185,154,131,113,AZE
89,89,89,89,89,89,89,89,95,100,104,108,111,114,115,115,115,114,113,112,111,110,GUY
358,352,331,310,286,270,253,236,218,204,191,178,168,159,150,142,136,129,123,119,113,108,NER
147,149,150,151,152,152,145,137,132,123,117,113,109,105,103,100,98,98,98,99,100,103,MAR
312,296,281,267,253,240,228,216,205,195,185,175,166,158,150,142,135,128,121,115,108,103,SLB
317,301,285,270,255,242,229,217,205,195,184,174,165,156,148,140,133,126,119,113,106,101,PER
146,158,168,177,184,189,191,191,189,186,181,175,168,161,154,147,139,132,124,116,109,101,ROM
125,138,152,167,183,199,219,241,259,275,286,288,283,272,255,233,211,189,166,144,122,101,UZB
167,150,135,122,110,101,93,87,83,80,79,79,82,85,86,88,90,92,94,96,98,100,KOR
243,233,223,213,204,198,191,182,174,165,157,148,140,133,126,121,116,111,108,103,100,97,ERI
47,57,68,77,87,96,104,111,117,123,127,132,137,140,139,135,131,126,120,113,106,97,RUS
291,341,387,499,506,514,519,484,444,381,326,279,238,205,176,181,152,135,120,114,106,94,RWA
